Link,brand,volume,description,ingredients,how_to_use
https://www.caretobeauty.com/us/fillerina-12ha-densifying-filler-lip-contour-cream/,Fillerina,Grade 5,,Not found,Not found
https://www.caretobeauty.com/us/la-cabine-lip-up-lift-concentrated-ampoules/,La Cabine,1x2ml,,Not found,Not found
https://www.caretobeauty.com/us/mixa-panthenol-comfort-multi-use-cream-50ml/,Mixa,50ml,,Not found,Not found
https://www.caretobeauty.com/us/sesderma-glicare-eye-and-lip-contour-gel-30ml/,Sesderma,30ml,"Sesderma Glicare Eye and Lip Contour Gel 30ml (1.01fl oz) is a light textured gel with a non greasy texture that targets all the problems on the eye area: reduces puffiness, wrinkles and dark circles. Plus, it deeply hydrates the eye and lip contour area. Due to its content in Haloxyl®, N-Hydroxysuccinimide and Sweet Clover Extract it fights dark circles by improving blood flow and eliminating the pigments that accumulate due to capillary fragility. Furthermore, the presence of Eyeseryl® deeply reduces eye puffiness. At the same time, Hyaluronic acid helps to hydrate the skin and to prevent premature aging of the eye area. As a special action, the ingredients are slowly released to the skin, providing hydration for more than 18 hours. Finally, it is suitable for all skin types and can be used on the lip contour area without having to worry about anything.","Main Ingredients

Haloxyl® helps to remove dark circles due to the ability to reduce the accumulation of iron and other haemoglobin derivatives that cause the dark coloration;
Eyeseryl® works as an anti-puffiness agent, reducing eye bags quickly and effectively due to its decongestive action;
Hyaluronic Acid is a NMF agent that deeply hydrates the skin due to its ability to retain water and helps to fight premature aging;
N- Hydroxysuccinimide helps to remove iron deposits from the eye area, reducing dark circles;
Sweet Clover Extract is an anti-inflammatory agent that fights free radicals and improves blood flow.","How to use
Apply Sesderma Glicare Eye and Lip Contour Gel 30ml (1.01fl oz) to clean, dry skin with your fingertips, from the inside outwards, tapping lightly. Extends evenly on both eye and lip contour. You can use it both in the morning and at night."
https://www.caretobeauty.com/us/babe-healthy-aging-multi-corrector-eyes-and-lips-tensor-15ml/,Babé,15ml,"Babé Healthy Aging+ Multi Corrector Eyes and Lips Tensor is an antiaging cream, specifically formulated for the eye and lip contour area. It has the ability to not only protect your skin but also fight signs of aging and fatigue. With a unique combination of active ingredients, it targets all the problems of those areas. Containing both Bakuchiol and encapsulated Retinol, it can stimulate collagen production, boosting elasticity and firmness, and improving expression lines and wrinkles. The presence of Hyaluronic Acid allows it to not only deeply moisturize the skin but also plump it up. And, because it also contains Caffeine it boosts microcirculation contributing to the reduction of eye bags and dark circles. With a light texture, that is easily absorbed, this eye and lip care will lend you a younger and luminous complexion.","Main Ingredients

0,50% Bakuchiol, which is a retinol-like molecule from botanical origin. It stimulates collagen production, boosting elasticity, firmness and improving fine lines and wrinkles;
3% Caffeine boosts microcirculation which contributes to reduce the appearance of eye bags and dark circles;
0,25% encapsulated Retinol stimulates cell renewal, lending the skin a radiant and also smoother appearance. It also increases the skin's natural collagen production which significantly reduces fine lines and wrinkles;
1% Hyaluronic Acid, which is a natural part of the skin connective tissue and has the capacity to retain water. This ability to not only deeply moisturize the skin but also plump it up keeps the skin hydrated while helping reduce fine lines and wrinkles.","How to use
Apply 4 drops of Babé Healthy Aging+ Multi Corrector Eyes and Lips Tensor directly to the lower eyelid. Avoiding the mobile eyelid, gently massage with soft touches."
https://www.caretobeauty.com/us/martiderm-platinum-expression-gel-eyes-lips-contour-15ml/,Martiderm,15ml,"Martiderm Black Diamond Skin Complex&nbsp;is an anti-wrinkle gel that should be used on the eye contour, lip contour and the space between the eyebrows. This formula contains peptides that relax the skin and muscles in order to attenuate wrinkles and reduce fine lines. Due to its formula in gel, it can be easily applied on the areas where the skin tends to wrinkle more easily and thanks to the hyaluronic acid in the formula it fills the wrinkle to make sure it is attenuated. Suitable for sensitive skin, as it contains soothing botanical extracts.","Main Ingredients

10% Octapeptide and 4% Syn-ake&nbsp;for a relaxing effect on the wrinkles, having a filler-like effect;
2% Camomile extract relaxes the muscles to reduce the wrinkles;
Short and long chained Hyaluronic acid deeply hydrates the skin and plumps the skin to reduce wrinkles;
Retinol, alpha-tocopherol and alpha-bisabolol have antioxidant and soothing properties.","How to use
Apply Martiderm Platinum Expression Gel in the morning before the moisturizer. This gel can be applied to the eye and lip contour and on the forehead between the eyebrows."
https://www.caretobeauty.com/us/ziaja-lifting-solution-serum-eye-and-lips-area-30ml/,Ziaja,30ml,"Ziaja Lifting Solution Serum Eye And Lips Area 30ml (1.0 fl oz) is an anti-wrinkle and lifting serum specifically designed for the delicate areas around the eyes and lips. This vegan serum, formulated with 96% ingredients of natural origin, targets wrinkles and loss of firmness in these regions, providing effective care and quickly visible results. It contains ursolic acid, an ingredient that promotes collagen production. So, this helps to smooth out wrinkles and improve skin firmness. Additionally, the serum includes a polymer derived from sweet almond proteins. This ingredient creates an elastic, smooth film on the skin’s surface, delivering an immediate lifting effect. So, this lifting action provides a quick and visible improvement in the skin's appearance, making the area around the eyes and lips look more toned. Lastly, panthenol helps maintain the skin's moisture levels.
In summary, this product helps to maintain smooth, firm, and hydrated skin of the eye and lip areas.","Main Ingredients

A peptide from sweet almonds forms a film that helps lift and smooth the skin;
Panthenol is a humectant, so it helps the skin to attract and retain water. It helps to decrease transepidermal water loss, leading to more hydrated skin. It also has soothing effects;
Ursolic Acid helps maintain elastic skin and also shows antioxidant properties.","How to use
Apply an appropriate amount of Ziaja Lifting Solution Serum Eye And Lips Area 30ml (1.0 fl oz) onto the skin under the eyes and around the lips. Then, gently tap until the product fully absorbs. Use a few times a week according to the skin's needs."
https://www.caretobeauty.com/us/endocare-eye-lip-contour-15ml/,Endocare,15ml,"Endocare Eye & Lip Contour is a moisturizing, anti-aging care for eyes and lips, for a visibly younger appearance. With active anti-inflammatory and anti-wrinkle ingredients, this eye and lip care revitalizes and regenerates the skin, reducing fine lines and wrinkles, puffiness, and dark circles. With a soft, easily-absorbed texture, it smoothes, uniformizes and brightens the skin. Ideal as a complement after cosmetic treatments (peeling, laser, microdermabrasion, ...).","Main Ingredients

SCA Index Repair 8, extracted from the snail, accelerates cell regeneration;
Hygroplex HHG has a great water-binding capacity, being an excellent skin moisturizer;
Pentavitin binds to keratin in the skin to keep the moisture balance, reducing dryness and irritation;
Tetrahidrocurcuminoids have antioxidant properties to prevent premature photoaging;
Transcutol enhances the penetration of the actives into the skin.","How to use
Apply Endocare Eye & Lip Contour to the eye and lip contour area. Gently massage into skin."
https://www.caretobeauty.com/us/sensai-total-lip-treatment-15ml/,SENSAI,15ml,"SENSAI Total Lip Treatment 15ml (0.52 oz) provides extensive and targeted care to the lips, nourishing them from within while lessening aging signs.
Even when aging is inevitable, you can always prevent and ease some of its effects on the skin. Such is the motto behind SENSAI&rsquo;s new targeted lip balm. The powerful cocktail of Botanical extracts, exfoliating acids, and nourishing ingredients provides an all-encompassing treatment, from gentle exfoliation to improved definition and fullness, while also including deep hydration and moisture. Moreover, due to its unique texture, this exquisite balm glides through the lips, allowing for a nurturing massage to deeply penetrate the inner layers and then provide must-needed hydration. The result is plumped and velvety soft lips.
Last but certainly not least, this luxurious formula also helps improve the definition of the lip contour, smoothing vertical lines and lifting up the area around the lips, thus reviving the whole complexion. It is as if the face suddenly awakened from a slumber, with your luscious and soft lips as the crowning jewel.","Main Ingredients

Niacinamide is a multi-functional skincare ingredient. In smaller percentages, it helps in fading brown spots and smoothing the appearance of pores, for a more fortified skin barrier. Additionally, it helps reduce aging signs by boosting the skins elasticity. Lastly, it is also rich in antioxidant and anti-inflammatory properties, reducing skin irritation.
Salicylic Acid both exfoliates the skin and unclogs the pores, improving its texture. As such, it is ideal for treating blackheads as well as preventing acne. In addition, it also has anti-inflammatory properties;
Vitamin E is the main antioxidant in the skin. It protects the cells against damage from free radicals while also providing significant photoprotection against UVB rays. And, since it is fat-soluble, it is easily absorbed by the skin.","How to use
Apply a small amount of SENSAI Total Lip Treatment 15ml (0.52 oz) onto your hands and then massage it on the lips and resounding area. Then, lightly pressure the nasolabial lines with your middle and ring fingers for a few seconds to fully embed the area with the balm. Lastly, gently massage the skin around the lips with circular motions with just the middle fingers. Start on the upper lips, move to the lower and then finish on the corners of the mouth, applying light pressure as well."
https://www.caretobeauty.com/us/clarins-extra-firming-lip-contour-balm-15ml/,Clarins,15ml,"Clarins Extra-Firming Lip &amp; Contour Balm is a nourishing balm that softens and comforts the lips while minimizing the appearance of signs of aging. The texture is rich and immediately replenishes the skin with hydration and comfort. The formula blends powerful botanicals to achieve rejuvenating results. Raspberry Seed Oil is rich in antioxidants and visibly softens, nourishes and protects the lips. Likewise, Shea Butter deeply nourishes the skin and provides comfort. In order to deliver rich ingredients with a gentle formula, ingredients such as alcohol, parabens and silicones are excluded.
The lip area is delicate and sensitive. Not only the lip skin is thinner, but also the skin around the lips contracts every time you eat, talk and smile. Prevent and correct already existing signs of aging with a powerful nourishing balm. Use it throughout the day to provide comfort to the lips, and in the evening to replenish the lips overnight. As a result, the lips appear fuller, more hydrated and wonderfully defined.","Main Ingredients

Raspberry Seed Oil is rich in antioxidants and softens, nourishes and protects the lips;
Shea Butter deeply nourishes the skin and provides comfort.","How to use
Use the spatula to dispense a small amount of the Clarins Extra-Firming Lip &amp; Contour Balm and massage it gently both on the lips and on the lip contours. Use as the last step of your skincare routine and/or apply throughout the day as needed."
