Link,brand,volume,description,ingredients,how_to_use,product_key
https://www.caretobeauty.com/us/eucerin-anti-pigment-dual-serum-30ml/,Eucerin,30ml,"Eucerin Anti-Pigment Dual Serum is a dual-action serum that both reduces dark spots and prevents their re-appearance. It contains thiamidol, an active ingredient that acts at the root cause of hyperpigmentation by reducing melanin production. Clinical and dermatological studies show thiamidol is effective in both reducing dark spots and preventing their re-appearance. Because of this, thiamidol is the perfect ally for a radiant and even complexion. This dual serum also contains concentrated hyaluronic acid, an effective moisturizing ingredient that helps the skin attract and retain moisture.
In a clinical study, 100% of volunteers reported their skin was more radiant and 94% found it more even, 91% noticed a reduction in the appearance of dark spots, and 88% remarked that the product was effective in fighting dark spots. These results were visible after just two weeks, and improved with regular use.","Main Ingredients

Thiamidol is an active ingredient that acts at the root cause of hyperpigmentation by reducing melanin production, therefore minimizing dark spots;
Concentrated hyaluronic acid is one of the most effective moisturizing ingredients, due to its ability to help the skin attract and retain moisture.","How to use
Apply Eucerin Anti-Pigment Dual Serum once a day to a well-cleansed face, neck and decollete. Gently massage into skin while taking care to avoid contact with the eyes. For best results, use this product in combination with Eucerin Anti-Pigment Day Cream SPF30 and Eucerin Anti-Pigment Spot Corrector. Apply each product only once a day, and don't use more than four products containing thiamidol per day.
Notes
Eucerin Anti-Pigment Dual Serum has the same formula as the Eucerin Even Pigment Perfector Dual Serum. The name varies depending on the country of sale.",850
https://www.caretobeauty.com/us/sesderma-azelac-ru-liposomal-depigmenting-serum-30ml/,Sesderma,30ml,"Sesderma Azelac RU Liposomal Depigmenting Serum 30ml (1.01fl oz) is a daily use serum that helps to fight all types of dark spots. It can help both prevent and reduce dark spots from aging and due to sun exposure, melasma, and even post-inflammatory hyperpigmentation. With Azelaic and Tranexamic Acids, which are powerful depigmenting actives, this serum not only helps to directly inhibit melanogenesis but also controls the melanin transfer to the keratinocytes acting on all types of hyperpigmentations. And, with Retinol and Vitamin C, it also helps stimulate cell renewal and brighten up the complexion. With a unique formula that suits all skin types and tones, this serum can, all in all, help unify the skin tone and lend the complexion a brighter, radiant and also smoother appearance.","Main Ingredients

Ascorbyl Glucoside, also known as Vitamin CG, is a derivative of Vitamin C. With powerful antioxidant properties it not only protects the skin from free radicals but also helps boost collagen production. It brightens up the complexion, overall enhancing the appearance of the skin;
Azelaic Acid and Tranexamic Acid combined with 4-Butylresorcinol help to directly inhibit melanogenesis and control the melanin transfer to the keratinocytes;
Retinol stimulates cell renewal and lends the skin a radiant and also smoother appearance;
Undecinoil Phenylalanine prevents the hormone alpha-MSH from binding to its receptor and inducing melanin synthesis.","How to use
Apply Sesderma Azelac RU Liposomal Depigmenting Serum 30ml (1.01fl oz) both morning and evening onto previously clean and dry skin. Gently massage until fully absorbed. Always use sunscreen in the morning to help prevent further pigmentation.",850
https://www.caretobeauty.com/us/eucerin-anti-pigment-spot-corrector-5ml/,Eucerin,5ml,"Eucerin Anti-Pigment Spot Corrector is a topical applicator that offers a precision solution for small areas of hyperpigmentation. It contains thiamidol, an active ingredient that acts at the root cause of hyperpigmentation by reducing melanin production. Clinical and dermatological studies show thiamidol is effective in both reducing dark spots and preventing their re-appearance. Because of this, thiamidol is the perfect ally for a radiant and even complexion. Applied directly to dark spots, this product is clinically and dermatologically proven to reduce them and prevent their re-appearance. First results are visible after two weeks and improve continuously with regular use.","Main Ingredients

Thiamidol is an active ingredient that acts at the root cause of hyperpigmentation by reducing melanin production, therefore minimizing dark spots.","How to use
Apply Eucerin Anti-Pigment Spot Corrector once a day to well-cleansed skin. Apply the product sparingly and directly to dark spots, while taking care to avoid contact with the eyes. Follow with your usual moisturizer. For best results, use this product in combination with Eucerin Anti-Pigment Day Cream SPF30 and Eucerin Anti-Pigment Dual Serum. Apply each product only once a day, and don't use more than four products containing thiamidol per day.",850
https://www.caretobeauty.com/us/eucerin-dermopure-oil-control-triple-effect-serum-40ml/,Eucerin,40ml,"Eucerin DERMOPURE Oil Control Triple Effect Serum is a facial serum that controls excess shine and visibly reduces post-acne marks while preventing blemishes. The texture is lightweight as well as non-greasy, ideal for skin prone to blemishes.
Delivering both a corrective and mattifying action, this non-greasy serum manages to beat post-acne marks. Containing thiamidol, it acts at the root cause of hyperpigmentation in order to minimize the appearance of dark acne spots. In addition, salicylic acid delivers an antibacterial and comedolytic action to reduce blemishes while licochalcone A reduces redness and calms minor inflammations. Apply the serum morning and evening to mattify the skin throughout the day. In the long run, the skin reveals more even and the appearance of post-acne marks is visibly reduced, especially if combined with Eucerin DERMOPURE Oil Control Protective Fluid SPF30. Clinical studies were conducted combining the action of both products, with promising results of 95% fewer post-acne marks after eight weeks.","Main Ingredients

Licochalcone A reduces redness and calms minor inflammations;
Thiamidol is an active ingredient that acts at the root cause of hyperpigmentation by reducing melanin production, therefore minimizing dark spots;
Salicylic Acid is antibacterial and comedolytic, reducing blemishes.","How to use
Apply one full pump of Eucerin DERMOPURE Oil Control Triple Effect Serum over the clean skin of the face. Apply it both in the morning and evening skincare routine. Do not apply over highly inflamed blemishes and avoid the eye area. Do not combine it with other products containing Thiamidol.
Precautions: Try out the product on a small area of skin before using it. A slight tingling sensation may occur. It should be harmless and should fade after a few minutes. If a visible reaction occurs for a longer period of time, then consult your dermatologist or pharmacist.",850
https://www.caretobeauty.com/us/sesderma-k-vit-anti-dark-circles-serum-clarifying-30ml/,Sesderma,30ml,"Sesderma K-Vit Anti-Dark Circles Serum Clarifying is an eye contour serum specially designed to remove all signs of fatigue. Its star ingredient is Vitamin K that reduces the build-up of blood pigments responsible for causing dark circles with a purple color. Due to Vitamin K's ability to gradually reduce this type of under-eye pigmentation, this serum is ideal for those who have dark circles and eye bags with a vascular origin. Also rich in Hyaluronic Acid, Superoxide Dismutase, and Vitamin E it is perfect to hydrate and protect the eye contour area and lend it a well-rested look. The Hyaluronic Acid hydrates and plumps the skin. While the Superoxide Dismutase and Vitamin E help to protect from oxidative stress and fight premature aging. All in all, with a light and non-greasy texture, this serum is able to perfectly hydrate the eye contour and remove all signs of fatigue.","Main Ingredients

Camphanediol and Pinadediol help reduce dark circles and eye bags;
Ginkgo Biloba Extract and Hydrolized Rice Protein have a decongesting and anti-dark circle action;
Hyaluronic Acid has the capacity to retain water. This ability not only deeply moisturizes the skin but also plumps it up. It helps keep the skin hydrated while smoothing fine lines and wrinkles;
Superoxide Dismutase helps to protect from oxidative stress in order to decrease premature aging;
Vitamin E helps protect the skin from free radicals and limit the photoaging effects on the skin;
Vitamin K reduces the build-up of blood pigments gradually reducing the under-eye pigmentation.","How to use
Apply Sesderma K-Vit Anti-Dark Circles Serum Clarifying both morning and evening to the clean and dry skin of the eye contour area. Gently tap until the product has been absorbed.",850
https://www.caretobeauty.com/us/sesderma-c-vit-serum-liposomal-30ml/,Sesderma,30ml,"Sesderma C-Vit Serum Liposomal is Sesderma's bestseller serum. It not only helps prevent and reduce the first signs of aging but also helps revive dull skin that has lost its vitality. Due to the exposure of the skin to oxidative stress, the skin starts to show the first signs of aging like loss of radiance and fine lines. This serum, rich in antioxidants, is perfect to help daily protect the skin from external environmental aggressors. With Vitamin C as the star ingredient, it can not only protect the skin from free radicals but also boost collagen production. It helps fight aging signs and fatigue, instantly boost luminosity, brighten up the complexion, and enhance the overall appearance of the skin. With a lightweight texture that is suitable for all skin types, it is perfect to return to dull and tired skin an even, radiant, and rejuvenated look.","Main Ingredients

Antiox Booster System that combines Ginkgo Biloba, Morus alba, Pterostilbene and Quercetin. It protects the skin from free radicals and boosts the action of Vitamin C;
Ethyl Ascorbic Acid, a stabilized form of Vitamin C, has powerful antioxidant properties. It not only protects the skin from free radicals but also helps boost collagen production. It helps fight signs of aging and fatigue, illuminate the complexion, and enhance the overall appearance of the skin;
Hyaluronic Acid has powerful hydrating properties. It can not only deeply hydrate but also plump the skin smoothing fine lines and wrinkles.","How to use
Apply Sesderma C-Vit Serum Liposomal onto clean and dry skin. Apply to both face and neck with a gentle massage.",850
https://www.caretobeauty.com/us/martiderm-the-originals-flash-ampoules-instant-radiance-effect-2ml/,Martiderm,2ml,"Martiderm The Originals Flash Ampoules Instant Radiance Effect 2ml instantly brighten the skin with an immediate boost of radiance and hydration. Ideal to use in the morning when your skin must look its best, this product works as the perfect base for make-up. Moreover, due to a powerful combination of peptides, these ampoules have an instant lifting effect, also visually reducing dark spots thanks to the presence of soft-focus particles. Even more, the Martiderm The Originals Flash Ampoules equally help to recover the skin's levels of elasticity and firmness. As a last note, the presence of Plant Proteins reduces roughness, leaving the skin immediately smoother and softer. By creating an elastic film on the skin surface, this component also offers a resculpting effect.","Main Ingredients

Hyaluronic Acid not only moisturizes but also reduces wrinkles and improves the texture of the skin;
Silicon moisturizes, improves skin flexibility and boosts absorption of hyaluronic acid, at the same time.","How to use
Shake Martiderm The Originals Flash Ampoules Instant Radiance Effect 2ml lightly before use. Place the ampoule on a flat surface and place the EASY OPEN device over it, pressing gently until you hear a soft clicking sound. Remove the EASY OPEN device and the top of the ampoule. Position the dispenser on the ampoule up to the line. Tip half the content into your hand and apply. Store the ampoule on the base, placing the lid on the dispenser.",850
https://www.caretobeauty.com/us/caudalie-vinoperfect-radiance-serum-complexion-correcting-30ml/,Caudalie,30ml,"Caudalie Vinoperfect Brightening Dark Spot Serum 30ml (1.01floz)is particularly designed to correct and prevent the appearance of various types of dark spots, including those caused by sun exposure, acne, melasma, and skin aging. This serum is suitable for all skin types, even the most sensitive, making it a versatile choice for anyone looking to fight hyperpigmentation. At the heart of this serum's formulation is viniferine, a patented ingredient that inhibits tyrosinase, an enzyme involved in melanin production. Therefore, this ingredient works to not only diminish existing dark spots but also prevent new dark spots from forming. Another key ingredient is squalane from olive oil, which provides deep hydration and softens the skin.
Clinical studies underscore the effectiveness of this serum, with 63% of the coloration of spots reduced after consistent use over 56 days. Moreover, 95% of women reported seeing their dark spots corrected after applying the serum twice daily for the same period. Equally important, the formula is non-photo sensitizing as well as suitable for pregnant and breastfeeding people. In summary, this serum works toward a more even and luminous skin tone and a reduction in the visibility of dark spots.","Main Ingredients

Vinefrine is a patented ingredient that derives from vine sap and inhibits tyrosinase, an enzyme responsible for melanin production. In this way, it has a depigmenting action, helping to reduce the appearance of dark spots;
Squalane, from olive oil, is a lipid with emollient properties, therefore hydrating and nourishing the skin.","How to use
Apply Caudalie Vinoperfect Brightening Dark Spot Serum 30ml (1.01floz) to the face, neck, and décolleté, morning and evening.",850
https://www.caretobeauty.com/us/eucerin-anti-pigment-skin-perfecting-serum-30ml/,Eucerin,30ml,"Eucerin Anti-Pigment Skin Perfecting Serum 30ml (1.01floz) has a fast-absorbing, ultra-light texture that effortlessly adheres to your skin, acting on pigmentation. In this sense, this clinically tested serum, when spread on the skin of the face, ends up brightening the complexion while reducing pigment spots and preventing new ones. In turn, the skin ends up looking more uniform, refined, hydrated, and with a natural radiant glow. For this to be possible, this serum is composed of a combination of powerful active ingredients, namely Thiamidol. This, in turn, is an effective and patented ingredient that acts on cutaneous hyperpigmentation, preventing its appearance by decreasing the production of melanin in the skin. Thus, the complexion is even while the dark spots are gradually disappearing.
Furthermore, the presence of Hyaluronic Acid and Glycerin deeply hydrate the skin, retaining moisture on its surface. That said, this serum provides long-lasting hydration that also ends up giving the skin a more plumped appearance. Moreover, the Crystal technology of this product ends up bringing great benefits to your face. In particular, the rapid absorption that it provides to this serum ends up bringing more instant results that last over time. At the same time, the skin is smoother and even soothed automatically. Finally, its non-greasy or sticky texture makes this serum perfectly suitable for all skin types, particularly oily skin. All in all, this facial serum not only reduces and prevents hyperpigmentation in the skin leaving it more even but also takes care of it in an exemplary way through a high boost of hydration and smoothness.","Main Ingredients

Thiamidol is an active ingredient that acts at the root cause of hyperpigmentation by reducing melanin production, therefore minimizing dark spots;
Concentrated Hyaluronic Acid is one of the most effective moisturizing ingredients, due to its ability to help the skin attract and retain moisture;
Glycerin attracts water and binds it to the skin, keeping it hydrated and shielded from environmental sources of irritation.","How to use
Apply Eucerin Anti-Pigment Skin Perfecting Serum 30ml (1.01floz) daily, morning and evening, on well cleansed face. Use alone, or before moisturizing as part of your skincare routine. Avoid eye contact.",850
https://www.caretobeauty.com/us/eucerin-hyaluron-filler-vitamin-c-booster/,Eucerin,x3,"Eucerin Hyaluron-Filler 3x Effect Vitamin C Booster 8ml is an anti-aging serum with 10% pure and freshly-activated vitamin C. Suitable for all skin types, this serum fights free radicals and addresses the first signs of aging. In order to achieve this, it strengthens the skin, plumps up wrinkles, and gives the skin a smoother, fresher, and more radiant look. In a study conducted with 140 women aged 35-55, 99% of volunteers confirmed the skin felt softer and looked revitalized; 98% found the skin fresher and younger-looking; 97% thought the skin was smoother and firmer; 83% reported that wrinkles were noticeably plumped up.
This product's innovative packaging ensures that the pure vitamin C is freshly activated on first use. Simply press and shake to combine the vitamin C powder into a serum of low molecular weight hyaluronic acid, and licochalcone A. The formula is at its most effective for 21 days after opening.","Main Ingredients

Vitamin C is a powerful antioxidant that neutralizes free radicals while strengthening the skin's own defense mechanisms;
Low molecular weight hyaluronic acid is an effective moisturizer that plumps up wrinkles in the outermost layers of the skin;
Licochalcone A, a proven antioxidant, works alongside vitamin C to neutralize the free radicals caused by both UV and high-energy visible (HEVIS) light.","How to use
Before using Eucerin Hyaluron-Filler 3x Effect Vitamin C Booster 8ml for the first time, do the following: peel off the protective foil at the bottom of the package. Press the soft button inside 2 or 3 times in order to release the vitamin C powder. Shake the package for at least 10 seconds to activate the formula. Then, remove the cap by twisting it, and the product will be ready for use! Turn the package upside down and press the soft button in order to release the formula.
Apply Eucerin Hyaluron-Filler 3x Effect Vitamin C Booster 8ml to previously cleansed skin before your day or night cream, or combine it with your preferred moisturizer before applying.",850
